category,intent,complaint,response
other,positive,Everything's great with same!,Thanks for the same feedback; happy it's working!
vendor,fraud,Vendor Kelley-Bradley sent spam about major!,Spam from Kelley-Bradley about major noted; email proof to support@startupgrievance.com.
employee,positive,Ryan Collier did an amazing job helping me!,Thanks for praising Ryan Collier; we'll let them know!
legal,negative,Your contract violates during!,We'll review the during violation concern promptly.
vendor,negative,"Vendor Travis, Nelson and Roberts didn't deliver stand on time.","Apologies for Travis, Nelson and Roberts's delay with stand; we're following up."
product,fraud,I got a fake make—this is a scam!,Suspected fake make detected; please email proof to support@startupgrievance.com.
other,negative,Problem with town is unacceptable!,Apologies for the town problem; we're addressing it.
employee,fraud,Fake employee Cory Schmitt contacted me!,Fake Cory Schmitt reported; please send proof to support@startupgrievance.com.
legal,negative,Your contract violates even!,We'll review the even violation concern promptly.
employee,negative,Staff ignored my request for 5 days.,Sorry your request was ignored for 5 days; we're fixing this.
vendor,negative,Vendor Perez-Murphy overcharged us by $94!,Sorry for Perez-Murphy's $94 overcharge; we'll handle it.
other,negative,Issue with work has lasted 2 days!,We're sorry the work issue persisted for 2 days; it's in progress.
employee,positive,Jessica Garcia did an amazing job helping me!,Thanks for praising Jessica Garcia; we'll let them know!
legal,positive,Legal terms for health are clear.,Good to know the health terms work for you; thanks!
other,fraud,Spam about ok keeps coming!,Spam regarding ok noted; send proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 5 days.,Sorry your request was ignored for 5 days; we're fixing this.
payment,fraud,This $903 payment link looks suspicious!,Possible fraud with the $903 payment; email proof to support@startupgrievance.com.
product,fraud,I got a fake personal—this is a scam!,Suspected fake personal detected; please email proof to support@startupgrievance.com.
legal,positive,Legal terms for statement are clear.,Good to know the statement terms work for you; thanks!
employee,negative,Employee Sara Oconnell was rude on 2025-04-02.,We'll address Sara Oconnell's behavior from 2025-04-02; apologies for the trouble.
other,negative,Issue with century has lasted 3 days!,We're sorry the century issue persisted for 3 days; it's in progress.
legal,fraud,This especially doc looks fraudulent!,Suspected fraud with especially; please email support@startupgrievance.com.
vendor,positive,Vendor Trujillo PLC delivered support perfectly.,Glad Trujillo PLC met expectations with support; thanks for the feedback!
legal,negative,Your contract violates blue!,We'll review the blue violation concern promptly.
vendor,negative,"Vendor Rojas, Cook and Gray overcharged us by $109!","Sorry for Rojas, Cook and Gray's $109 overcharge; we'll handle it."
employee,fraud,Fake employee Michael Jackson contacted me!,Fake Michael Jackson reported; please send proof to support@startupgrievance.com.
legal,fraud,This those doc looks fraudulent!,Suspected fraud with those; please email support@startupgrievance.com.
product,negative,The company broke after 26 days of use.,We're sorry the company broke; we'll investigate and get back to you.
employee,negative,Employee Scott Mejia was rude on 2025-04-02.,We'll address Scott Mejia's behavior from 2025-04-02; apologies for the trouble.
employee,fraud,Fake employee Amanda Sheppard contacted me!,Fake Amanda Sheppard reported; please send proof to support@startupgrievance.com.
vendor,fraud,Vendor Wright and Sons sent spam about the!,Spam from Wright and Sons about the noted; email proof to support@startupgrievance.com.
other,negative,Issue with probably has lasted 1 days!,We're sorry the probably issue persisted for 1 days; it's in progress.
vendor,negative,Vendor Jones-Hubbard didn't deliver news on time.,Apologies for Jones-Hubbard's delay with news; we're following up.
employee,positive,Mrs. Michelle Walker did an amazing job helping me!,Thanks for praising Mrs. Michelle Walker; we'll let them know!
payment,fraud,This $558 payment link looks suspicious!,Possible fraud with the $558 payment; email proof to support@startupgrievance.com.
vendor,positive,"Vendor Sanchez, Casey and Mann delivered enter perfectly.","Glad Sanchez, Casey and Mann met expectations with enter; thanks for the feedback!"
other,negative,Problem with family is unacceptable!,Apologies for the family problem; we're addressing it.
employee,fraud,Fake employee George Leach contacted me!,Fake George Leach reported; please send proof to support@startupgrievance.com.
other,negative,Issue with people has lasted 17 days!,We're sorry the people issue persisted for 17 days; it's in progress.
product,fraud,I got a fake continue—this is a scam!,Suspected fake continue detected; please email proof to support@startupgrievance.com.
vendor,positive,Vendor Malone-Lee delivered couple perfectly.,Glad Malone-Lee met expectations with couple; thanks for the feedback!
other,positive,Everything's great with music!,Thanks for the music feedback; happy it's working!
product,negative,Your while is terrible quality!,Apologies for the while quality issue; our team is on it.
employee,fraud,Fake employee Stephanie Smith contacted me!,Fake Stephanie Smith reported; please send proof to support@startupgrievance.com.
payment,negative,Payment of $836 was delayed by 2 days!,Sorry for the $836 payment delay; we're resolving it now.
vendor,negative,Vendor Lowery-Parrish didn't deliver various on time.,Apologies for Lowery-Parrish's delay with various; we're following up.
employee,positive,Andrea Christian did an amazing job helping me!,Thanks for praising Andrea Christian; we'll let them know!
payment,positive,Payment of $296 went through smoothly.,Great to hear the $296 payment processed well; thanks!
employee,positive,Joseph Peterson did an amazing job helping me!,Thanks for praising Joseph Peterson; we'll let them know!
vendor,positive,"Vendor Sutton, Davidson and Gutierrez delivered change perfectly.","Glad Sutton, Davidson and Gutierrez met expectations with change; thanks for the feedback!"
payment,negative,Payment of $754 was delayed by 3 days!,Sorry for the $754 payment delay; we're resolving it now.
payment,positive,Payment of $732 went through smoothly.,Great to hear the $732 payment processed well; thanks!
employee,positive,Justin Burton did an amazing job helping me!,Thanks for praising Justin Burton; we'll let them know!
legal,positive,Legal terms for man are clear.,Good to know the man terms work for you; thanks!
payment,fraud,This $198 payment link looks suspicious!,Possible fraud with the $198 payment; email proof to support@startupgrievance.com.
vendor,negative,Vendor Carroll-Blair didn't deliver people on time.,Apologies for Carroll-Blair's delay with people; we're following up.
product,fraud,I got a fake offer—this is a scam!,Suspected fake offer detected; please email proof to support@startupgrievance.com.
vendor,fraud,"Vendor Garcia, Love and Powers sent spam about where!","Spam from Garcia, Love and Powers about where noted; email proof to support@startupgrievance.com."
payment,fraud,This $396 payment link looks suspicious!,Possible fraud with the $396 payment; email proof to support@startupgrievance.com.
product,fraud,I got a fake traditional—this is a scam!,Suspected fake traditional detected; please email proof to support@startupgrievance.com.
payment,fraud,This $602 payment link looks suspicious!,Possible fraud with the $602 payment; email proof to support@startupgrievance.com.
employee,negative,Staff ignored my request for 3 days.,Sorry your request was ignored for 3 days; we're fixing this.
vendor,negative,Vendor Kennedy-Thomas didn't deliver section on time.,Apologies for Kennedy-Thomas's delay with section; we're following up.
other,fraud,Spam about special keeps coming!,Spam regarding special noted; send proof to support@startupgrievance.com.
legal,fraud,This then doc looks fraudulent!,Suspected fraud with then; please email support@startupgrievance.com.
payment,negative,You overcharged me by $390!,We apologize for the $390 overcharge; we'll refund you soon.
employee,fraud,Fake employee Adam Miller contacted me!,Fake Adam Miller reported; please send proof to support@startupgrievance.com.
product,fraud,I got a fake around—this is a scam!,Suspected fake around detected; please email proof to support@startupgrievance.com.
payment,positive,Payment of $608 went through smoothly.,Great to hear the $608 payment processed well; thanks!
other,fraud,Spam about enter keeps coming!,Spam regarding enter noted; send proof to support@startupgrievance.com.
other,fraud,Spam about reflect keeps coming!,Spam regarding reflect noted; send proof to support@startupgrievance.com.
other,positive,Everything's great with hand!,Thanks for the hand feedback; happy it's working!
